arch,n_runs,fr_mean,fr_ci_lo,fr_ci_hi,auprc_mean,auprc_ci_lo,auprc_ci_hi,patr_mean,patr_ci_lo,patr_ci_hi,mean_staleness_sec,staleness_ci_lo,staleness_ci_hi,fairness_gap,coverage,shuffled_null_fr
fixed,3,-0.30961796982950246,-0.3392911688334474,-0.2811759746799401,,,,0.7970891871540537,0.02304467118364284,1.5711337031244645,1.1847836974122712e-09,5.313624396231967e-10,1.8382049552013457e-09,-1.3928993201806929e-05,0.9999785905223301,-0.3096966374068022
drift,3,-0.30961257855875457,-0.339237260367764,-0.2811928784958098,,,,0.8106988600241728,0.5859442303698309,1.0354534896785146,1.21664018660803e-09,6.564582121779252e-10,1.7768221610381346e-09,-1.5702594821139765e-05,0.99995718104466,-0.3096912478203582
throttle,3,-0.30961796982950246,-0.3392911688334474,-0.2811759746799401,,,,0.6527301594995504,-0.3050952870917182,1.610555606090819,1.202393002897058e-09,6.56872128115268e-10,1.747913877678848e-09,-1.5702590074926837e-05,0.9999785905223301,-0.3096966374068022
aonly,3,-0.3095781075750541,-0.3392550790800698,-0.2811886155295259,,,,0.6145429143568625,0.5165947654829619,0.712491063230763,1.121451392631416e-09,1.1060710945321166e-09,1.1368316907307156e-09,-1.7346111822018834e-05,0.9999986406680845,-0.3096554889400439
bonly,3,-0.30959967076439004,-0.33926368925592565,-0.28118281572693643,,,,0.9468203351850178,-0.1584829488047329,2.0521236191747687,1.0324676398499419e-09,5.504787603199129e-10,1.5144565193799708e-09,-1.0511829823738292e-05,0.9999785905223301,-0.30967840724665385
adaptive,3,-0.3096045508562164,-0.3392638189074871,-0.2812002263318198,,,,0.6192905535951277,0.4702513597653064,0.7683297474249491,9.251117936763518e-10,5.028806059046973e-10,1.3473429814480064e-09,-1.0511784997880916e-05,0.9999966016702112,-0.3096822074822065
ralf,3,-0.312495277102478,-0.3420882074692555,-0.28624973205423043,,,,0.6844086696231838,0.4766726109620839,0.8921447282842837,1.4357645735086984e-09,1.1710236775584397e-09,1.7005054694589571e-09,-1.7740244020019468e-06,0.49979915870947744,-0.31267777715527123
