arch,n_runs,fr_mean,fr_ci_lo,fr_ci_hi,auprc_mean,auprc_ci_lo,auprc_ci_hi,patr_mean,patr_ci_lo,patr_ci_hi,mean_staleness_sec,staleness_ci_lo,staleness_ci_hi,fairness_gap,coverage,shuffled_null_fr
fixed,5,-0.015960163422646896,-0.016401928970183857,-0.015607706048037935,0.2362525240339723,0.2290551985416364,0.2431995922485253,0.12827870724070495,0.12827437381741297,0.12828304066399693,6001.825202882357,5391.67652277596,6611.973882988755,25343.085780176385,0.99997859052233,0.019171599726684047
drift,5,-0.015959907643858663,-0.016401665985286792,-0.015607699799676529,0.2362524184319916,0.22905518749963252,0.2431993796880525,0.1290091945205439,0.12788820847204044,0.13013018056904738,5800.116137861176,5095.437388636228,6504.794887086124,24664.238540739632,0.8977469073499756,0.019028098099421648
throttle,5,-0.015960163422646896,-0.016401928970183857,-0.015607706048037935,0.2362525240339723,0.2290551985416364,0.2431995922485253,0.12828085604884426,0.12827584535636244,0.12828586674132608,5927.67739951716,5399.3760553905395,6455.97874364378,24977.207191954145,0.99997859052233,0.019171599726684047
aonly,5,-0.10311723685333957,-0.10470940663387979,-0.1013470912952457,0.20257123763969911,0.19365836617719911,0.21186660182294256,0.1282874915940167,0.12826748948610747,0.12830749370192593,5680.158915624029,4983.316163558727,6377.001667689331,24090.86911587713,0.9999965337036153,-0.07711704909134147
bonly,5,0.004173651885785573,0.003157399983509922,0.004784980255210983,0.2881177534623028,0.281902294054482,0.2937063110137239,0.1282886220177903,0.12827094303152162,0.12830630100405896,5892.9232176937885,5323.90903728865,6461.937398098927,25332.154734861186,0.99997859052233,0.05238081096000022
adaptive,5,0.0012543838834119195,-0.0006936400560499618,0.0026203222195377187,0.2829704512893354,0.2768005895732731,0.28887786746933386,0.1282878661643562,0.12825157354922104,0.12832415877949135,5740.960280187433,5263.748586821273,6218.1719735535935,24185.114934796475,0.9999977571023393,0.050704870355737265
ralf,5,0.030886877124950696,0.02447101575518499,0.03757094643730016,0.21128598117139907,0.1747078406648812,0.25346245925523714,0.47439052226100253,0.47393130144230206,0.474849743079703,385.33592077786477,327.09640751603155,443.575434039698,-130.16055302866818,0.4999296545733703,0.06788579657267557
