arch,n_runs,fr_mean,fr_ci_lo,fr_ci_hi,auprc_mean,auprc_ci_lo,auprc_ci_hi,patr_mean,patr_ci_lo,patr_ci_hi,mean_staleness_sec,staleness_ci_lo,staleness_ci_hi,fairness_gap,coverage,shuffled_null_fr
fixed,3,-0.0159601634226469,-0.016401928970183857,-0.015607706048037934,0.2362525240339723,0.2290551985416364,0.2431995922485253,0.12827716553803692,0.12827207166178792,0.12828225941428592,6760.762446849581,6117.680831325649,7403.844062373512,28819.134001234313,0.9999785905223301,0.019171599726684047
drift,3,-0.015959907643858663,-0.016401665985286796,-0.01560769979967653,0.23625241951905546,0.22905519014379228,0.24319937962426547,0.1290056684583253,0.1258800921870743,0.13213124472957632,6860.323684514585,6653.152889496939,7067.494479532231,29162.531942217272,0.9999949025053166,0.019028098099421648
throttle,3,-0.0159601634226469,-0.016401928970183857,-0.015607706048037934,0.2362525240339723,0.2290551985416364,0.2431995922485253,0.1282803121849131,0.12826870127815787,0.12829192309166831,6768.089090842358,6118.072921759733,7418.105259924983,28883.64499876252,0.9999785905223301,0.019171599726684047
aonly,3,-0.10311712000887292,-0.10470928508343555,-0.10134708842095498,0.20257123353496856,0.19365836607605644,0.2118665977629467,0.1282775512297567,0.12826901562429283,0.12828608683522058,6881.966312473279,6746.014044853918,7017.91858009264,29227.290376227393,0.9999986406680845,-0.07722255819932729
bonly,3,0.004445815312540498,0.003985779806049551,0.00478690041622843,0.28833715223011824,0.28211681744391714,0.293887587633771,0.12827763132722966,0.12827417844662908,0.12828108420783024,6914.962474580233,6906.7074635448325,6923.217485615633,29272.54681367014,0.9999785905223301,0.05270062728437274
adaptive,3,0.003587188536456727,0.002563322336176205,0.00419284413546336,0.2843198922225666,0.27805761606609597,0.2900173197446731,0.1282786558269563,0.12826789556055967,0.12828941609335293,6875.665898732018,6697.110108324451,7054.221689139585,29211.614294719562,0.9999962618372322,0.050676728599520195
ralf,3,0.030908470262894255,0.024465742871457176,0.03778899345573098,0.2106675908119409,0.174845839710584,0.25401333890894623,0.47404773443176834,0.47344125172272494,0.47465421714081174,486.505603954581,477.50617294995084,495.5050349592111,-140.58979042691172,0.4999296545733703,0.0678896201313123
