arch,n_runs,fr_mean,fr_ci_lo,fr_ci_hi,auprc_mean,auprc_ci_lo,auprc_ci_hi,patr_mean,patr_ci_lo,patr_ci_hi,mean_staleness_sec,staleness_ci_lo,staleness_ci_hi,fairness_gap,coverage,shuffled_null_fr
fixed,3,-0.30961796982950246,-0.3392911688334474,-0.2811759746799401,,,,0.04451034667203252,-0.050932494572445544,0.13995318791651057,1.5808328308418699e-09,,,-2.0893437915276694e-05,0.9999785905223301,-0.3096966374068022
drift,3,-0.30961257855875457,-0.339237260367764,-0.2811928784958098,,,,0.02348143689631362,0.016055949835214595,0.03090692395741264,1.5808666767167426e-09,,,-2.0893437922678353e-05,0.99995718104466,-0.3096912478203582
throttle,3,-0.30961796982950246,-0.3392911688334474,-0.2811759746799401,,,,0.07412051902231809,0.013144720523015858,0.13509631752162032,1.5808328308418699e-09,,,-2.0893437915276694e-05,0.9999785905223301,-0.3096966374068022
aonly,3,-0.3095781075750541,-0.3392550790800698,-0.2811886155295259,,,,0.04190057065211317,-0.03958180846969615,0.12338294977392249,1.5807989864162262e-09,,,-2.0893437907875354e-05,1.0,-0.30965677346812215
bonly,3,-0.3095996677601848,-0.33926369219802327,-0.2811828195392282,,,,0.021707347120443008,0.021208284603429852,0.022206409637456164,1.5808328308418699e-09,,,-2.0893437915276694e-05,0.9999785905223301,-0.30967836009564215
adaptive,3,-0.3096054470274282,-0.33926384671692067,-0.28120289949630545,,,,0.07468443413186089,0.05607252283277067,0.09329634543095111,1.5807989864162262e-09,,,-2.0893437907875354e-05,1.0,-0.30968412012593804
ralf,3,-0.312495277102478,-0.3420882074692555,-0.28624973205423043,,,,0.03431752157906651,0.0241017431373314,0.04453330002080161,3.1620314023668145e-09,,,-2.0893783706824363e-05,0.49979915870947744,-0.31267777715527123
